Video Name, Test Index, Client Stall Rate, Client Video Quality, IPFS Bandwidth (Mbps), IPFS RTT (Micro-Second), IPFS Hops, Gateway Bandwidth (Mbps), Cache Ratio
big_buck_bunny_720p_5mb, 1, 0.60, 4, 20, 2600, 1, 452, 0
big_buck_bunny_720p_10mb, 1, 0.89, 3, 12, 2715, 2, 450, 0
big_buck_bunny_720p_20mb, 1, 0.95, 2, 6, 2810, 2, 430, 0
big_buck_bunny_720p_30mb, 1, 1.20, 2, 4, 3000, 3, 410, 0
big_buck_bunny_720p_5mb, 2, 0.55, 4, 20, 2540, 1, 450, 0
big_buck_bunny_720p_10mb, 2, 0.70, 2, 12, 2600, 2, 410, 0
big_buck_bunny_720p_20mb, 2, 0.90, 2, 6, 2700, 2, 400, 0
big_buck_bunny_720p_30mb, 2, 1.17, 2, 4, 2900, 3, 400, 0
big_buck_bunny_720p_5mb, 3, 0.62, 4, 20, 2600, 1, 452, 0
big_buck_bunny_720p_10mb, 3, 0.85, 3, 12, 2715, 1, 450, 0
big_buck_bunny_720p_20mb, 3, 1.12, 3, 6, 2810, 2, 450, 0
big_buck_bunny_720p_30mb, 3, 1.5, 3, 4, 3000, 2, 440, 0
big_buck_bunny_720p_5mb, 4, 0.01, 4, 20, 2600, 3, 452, 0.80
big_buck_bunny_720p_10mb, 4, 0.03, 4, 12, 2715, 2, 450, 0.70
big_buck_bunny_720p_20mb, 4, 0.06, 3, 6, 2810, 2, 450, 0.75
big_buck_bunny_720p_30mb, 4, 0.08, 3, 4, 3000, 2, 440, 0.70
big_buck_bunny_720p_5mb, 5, 0.10, 3, 30, 2400, 3, 600, 0.50
big_buck_bunny_720p_10mb, 5, 0.07, 4, 20, 2320, 2, 540, 0.55
big_buck_bunny_720p_20mb, 5, 0.05, 3, 10, 2400, 1, 500, 0.60
big_buck_bunny_720p_30mb, 5, 0.06, 3, 10, 3700, 1, 490, 0.70
big_buck_bunny_720p_5mb, 6, 0.15, 3, 40, 2000, 1, 670, 0.40
big_buck_bunny_720p_10mb, 6, 0.12, 3, 30, 2100, 1, 600, 0.45
big_buck_bunny_720p_20mb, 6, 0.08, 3, 20, 2250, 1, 540, 0.58
big_buck_bunny_720p_30mb, 6, 0.07, 3, 15, 2800, 1, 510, 0.70
big_buck_bunny_720p_5mb, 7, 0.20, 3, 50, 1900, 3, 700, 0.30
big_buck_bunny_720p_10mb, 7, 0.18, 3, 40, 2000, 3, 650, 0.35
big_buck_bunny_720p_20mb, 7, 0.12, 3, 30, 2100, 2, 600, 0.40
big_buck_bunny_720p_30mb, 7, 0.10, 3, 20, 2200, 2, 550, 0.50
big_buck_bunny_720p_5mb, 8, 0.25, 2, 60, 1800, 2, 750, 0.20
big_buck_bunny_720p_10mb, 8, 0.22, 2, 50, 1900, 2, 700, 0.25
big_buck_bunny_720p_20mb, 8, 0.15, 2, 40, 2000, 1, 650, 0.30
big_buck_bunny_720p_30mb, 8, 0.12, 2, 30, 2100, 1, 600, 0.40
big_buck_bunny_720p_5mb, 9, 0.30, 2, 70, 1700, 2, 800, 0.10
big_buck_bunny_720p_10mb, 9, 0.28, 2, 60, 1800, 1, 750, 0.15
big_buck_bunny_720p_20mb, 9, 0.20, 2, 50, 1900, 1, 700, 0.30
big_buck_bunny_720p_30mb, 9, 0.15, 2, 40, 2000, 1, 650, 0.60
big_buck_bunny_720p_5mb, 10, 0.60, 4, 25, 2500, 3, 460, 0
big_buck_bunny_720p_10mb, 10, 0.82, 3, 15, 2600, 2, 450, 0
big_buck_bunny_720p_20mb, 10, 1.3, 2, 10, 2700, 2, 430, 0
big_buck_bunny_720p_30mb, 10, 1.5, 2, 5, 2800, 2, 420, 0
big_buck_bunny_720p_5mb, 11, 0.65, 4, 25, 2450, 3, 455, 0
big_buck_bunny_720p_10mb, 11, 0.90, 3, 15, 2550, 2, 440, 0
big_buck_bunny_720p_20mb, 11, 0.90, 2, 10, 2650, 2, 420, 0
big_buck_bunny_720p_30mb, 11, 1.6, 2, 5, 2750, 1, 410, 0
big_buck_bunny_720p_5mb, 12, 0.90, 4, 25, 2400, 2, 450, 0
big_buck_bunny_720p_10mb, 12, 0.93, 3, 15, 2500, 2, 430, 0
big_buck_bunny_720p_20mb, 12, 1.25, 2, 10, 2600, 2, 410, 0
big_buck_bunny_720p_30mb, 12, 1.70, 2, 5, 2700, 1, 400, 0
big_buck_bunny_720p_5mb, 13, 0.05, 4, 25, 2500, 2, 460, 0.80
big_buck_bunny_720p_10mb, 13, 0.08, 3, 15, 2600, 2, 450, 0.75
big_buck_bunny_720p_20mb, 13, 0.12, 3, 10, 2700, 2, 440, 0.70
big_buck_bunny_720p_30mb, 13, 0.15, 3, 5, 2800, 2, 430, 0.65
big_buck_bunny_720p_5mb, 14, 0.04, 4, 25, 2450, 3, 455, 0.50
big_buck_bunny_720p_10mb, 14, 0.07, 3, 15, 2550, 2, 440, 0.45
big_buck_bunny_720p_20mb, 14, 0.10, 3, 10, 2650, 2, 430, 0.30
big_buck_bunny_720p_30mb, 14, 0.13, 3, 5, 2750, 1, 420, 0.25
big_buck_bunny_720p_5mb, 15, 0.03, 4, 25, 2400, 2, 450, 0.20
big_buck_bunny_720p_10mb, 15, 0.06, 3, 15, 2500, 2, 430, 0.14
big_buck_bunny_720p_20mb, 15, 0.09, 3, 10, 2600, 1, 420, 0.10
big_buck_bunny_720p_30mb, 15, 0.12, 3, 5, 2700, 1, 410, 0.05
big_buck_bunny_720p_5mb, 16, 0.20, 3, 35, 2300, 3, 480, 0.50
big_buck_bunny_720p_10mb, 16, 0.18, 3, 25, 2400, 2, 470, 0.45
big_buck_bunny_720p_20mb, 16, 0.15, 3, 15, 2500, 3, 460, 0.40
big_buck_bunny_720p_30mb, 16, 0.12, 3, 10, 2600, 2, 450, 0.35
big_buck_bunny_720p_5mb, 17, 0.25, 3, 40, 2200, 2, 490, 0.40
big_buck_bunny_720p_10mb, 17, 0.22, 3, 30, 2300, 2, 480, 0.35
big_buck_bunny_720p_20mb, 17, 0.18, 3, 20, 2400, 2, 470, 0.30
big_buck_bunny_720p_30mb, 17, 0.15, 3, 15, 2500, 2, 460, 0.25
big_buck_bunny_720p_5mb, 18, 0.30, 2, 45, 2100, 2, 500, 0.30
big_buck_bunny_720p_10mb, 18, 0.28, 1, 35, 2200, 1, 490, 0.25
big_buck_bunny_720p_20mb, 18, 0.22, 2, 25, 2300, 1, 480, 0.20
big_buck_bunny_720p_30mb, 18, 0.18, 3, 20, 2400, 1, 470, 0.50
